Citation,Tag,ExpMM,ExpYY,State,Make,Address,ViolCode,Description,ViolFine,ViolDate,Balance,PenaltyDate,OpenFine,OpenPenalty,ImportDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location,2010 Census Neighborhoods,2010 Census Wards Precincts,Zip Codes
56551618,BLD5582,00,0,AZ,TOYOT,York Rd SB @ E Cold Spring Ln,030,Red Light Violation,75.00,07/25/2020 09:21:00 AM,75.00,,75.00,0.00,,,,,,,,
56551535,GD3066,08,20,DC,TOYT,Pennsylvania Ave NB @ Dolphin,030,Red Light Violation,75.00,07/25/2020 09:08:00 AM,75.00,,75.00,0.00,,,,,,,,
56552228,8DJ6917,07,20,MD,CHEV,Pennsylvania Ave SB @ Dolphin,030,Red Light Violation,75.00,07/25/2020 09:06:00 AM,75.00,,75.00,0.00,,,,,,,,
56552301,5DS7402,03,21,MD,HOND,S MLK Jr Blvd SB @ W Pratt St,030,Red Light Violation,75.00,07/25/2020 09:06:00 AM,75.00,,75.00,0.00,,,,,,,,
56551386,7DY2128,08,21,MD,TOYT,N Calvert St NB @ E Baltimore,030,Red Light Violation,75.00,07/25/2020 08:57:00 AM,75.00,,75.00,0.00,,,,,,,,
56551899,4AM2156,03,22,MD,TOYT,Frederick Ave WB @ S Beechfiel,030,Red Light Violation,75.00,07/25/2020 08:57:00 AM,75.00,,75.00,0.00,,,,,,,,
56551881,5DS5244,03,21,MD,HOND,Pennsylvania Ave SB @ Dolphin,030,Red Light Violation,75.00,07/25/2020 08:57:00 AM,75.00,,75.00,0.00,,,,,,,,
56551733,3EC5668,01,22,MD,TOYT,Liberty Heights Ave WB @ W Nor,030,Red Light Violation,75.00,07/25/2020 08:47:00 AM,75.00,,75.00,0.00,,,,,,,,
56551782,9DE2936,02,22,MD,CHEV,Gwynns Falls Pkwy WB @ Reister,030,Red Light Violation,75.00,07/25/2020 08:47:00 AM,75.00,,75.00,0.00,,,,,,,,
56551352,A350136,04,22,MD,CHEV,S MLK Jr Blvd SB @ Washington,030,Red Light Violation,75.00,07/25/2020 08:44:00 AM,75.00,,75.00,0.00,,,,,,,,
56551402,9EF7756,07,22,MD,NISS,Pulaski Hwy EB @ Moravia Park,030,Red Light Violation,75.00,07/25/2020 08:21:00 AM,75.00,,75.00,0.00,,,,,,,,
56552145,UGZ4392,00,0,VA,MAZD,N Paca St NB @ W Fayette St,030,Red Light Violation,75.00,07/25/2020 08:13:00 AM,75.00,,75.00,0.00,,,,,,,,
56552103,9EC3905,01,22,MD,CHEV,Caton Ave NB @ Wilkens Ave,030,Red Light Violation,75.00,07/25/2020 08:09:00 AM,75.00,,75.00,0.00,,,,,,,,
56551873,1DW8257,06,21,MD,KIA,Pennsylvania Ave SB @ Dolphin,030,Red Light Violation,75.00,07/25/2020 08:02:00 AM,75.00,,75.00,0.00,,,,,,,,
56551857,JVL2036,00,0,PA,CHEV,W Cold Spring Ln WB @ Reisters,030,Red Light Violation,75.00,07/25/2020 07:59:00 AM,75.00,,75.00,0.00,,,,,,,,
56551840,8DT6389,02,21,MD,HOND,Liberty Heights Ave WB @ W Nor,030,Red Light Violation,75.00,07/25/2020 07:54:00 AM,75.00,,75.00,0.00,,,,,,,,
56552442,5DP1084,02,22,MD,FORD,Aliceanna St WB @ S Wolfe St,030,Red Light Violation,75.00,07/25/2020 07:46:00 AM,75.00,,75.00,0.00,,,,,,,,
56551220,9EB2873,01,22,MD,ACUR,Reisterstown Rd SB @ Patterson,030,Red Light Violation,75.00,07/25/2020 07:21:00 AM,75.00,,75.00,0.00,,,,,,,,
56552186,8DY9773,03,21,MD,TOYT,E 33rd St WB @ Greenmount Ave,030,Red Light Violation,75.00,07/25/2020 07:19:00 AM,75.00,,75.00,0.00,,,,,,,,
56551279,6DZ4189,10,21,MD,TOYT,Erdman Ave SB @ Federal St,030,Red Light Violation,75.00,07/25/2020 06:56:00 AM,75.00,,75.00,0.00,,,,,,,,
56551212,5EA0641,05,21,MD,HOND,N Paca St NB @ W Fayette St,030,Red Light Violation,75.00,07/25/2020 06:35:00 AM,75.00,,75.00,0.00,,,,,,,,
56551980,9AK3693,09,21,MD,FORD,Loch Raven Blvd SB @ E Belvede,030,Red Light Violation,75.00,07/25/2020 05:56:00 AM,75.00,,75.00,0.00,,,,,,,,
56551493,3ED5519,02,22,MD,MAZD,Erdman Ave SB @ Federal St,030,Red Light Violation,75.00,07/25/2020 05:26:00 AM,75.00,,75.00,0.00,,,,,,,,
56551253,3CP9917,10,20,MD,JEEP,Caton Ave NB @ Wilkens Ave,030,Red Light Violation,75.00,07/25/2020 05:15:00 AM,75.00,,75.00,0.00,,,,,,,,
56552004,UKN8638,00,0,VA,BUIC,Dundalk Ave SB @ O'Donnell St,030,Red Light Violation,75.00,07/25/2020 05:10:00 AM,75.00,,75.00,0.00,,,,,,,,
56551477,3ED7729,03,22,MD,BMW,Russell St NB @ Bush St,030,Red Light Violation,75.00,07/25/2020 04:53:00 AM,75.00,,75.00,0.00,,,,,,,,
56551444,KJK5886,00,0,PA,HYUND,Liberty Heights Ave WB @ W Nor,030,Red Light Violation,75.00,07/25/2020 04:52:00 AM,75.00,,75.00,0.00,,,,,,,,
56550230,5EE7073,03,22,MD,HOND,W Lombard St WB @ S Charles St,030,Red Light Violation,75.00,07/25/2020 04:41:00 AM,75.00,,75.00,0.00,,,,,,,,
56551246,BC2834,12,99,MD,CHEV,E Cold Spring Ln EB @ York Rd,030,Red Light Violation,75.00,07/25/2020 04:32:00 AM,75.00,,75.00,0.00,,,,,,,,
56552087,UPS1339,00,0,VA,GMC,Dundalk Ave NB @ O'Donnell St,030,Red Light Violation,75.00,07/25/2020 04:18:00 AM,75.00,,75.00,0.00,,,,,,,,
56550578,8DD5424,02,22,MD,TOYT,Falls Rd SB @ W 41st St,030,Red Light Violation,75.00,07/25/2020 03:35:00 AM,75.00,,75.00,0.00,,,,,,,,
56550537,51979CH,11,20,MD,TESL,N President St NB @ E Fayette,030,Red Light Violation,75.00,07/25/2020 03:33:00 AM,75.00,,75.00,0.00,,,,,,,,
56550735,2EG5943,07,20,MD,CHRY,Gwynns Falls Pkwy WB @ Reister,030,Red Light Violation,75.00,07/25/2020 03:32:00 AM,75.00,,75.00,0.00,,,,,,,,
56551071,URJ3015,00,0,VA,ACUR,Erdman Ave EB @ N Macon St,030,Red Light Violation,75.00,07/25/2020 03:32:00 AM,75.00,,75.00,0.00,,,,,,,,
56551774,8DR8992,04,21,MD,CHEV,Loch Raven Blvd SB @ E Belvede,030,Red Light Violation,75.00,07/25/2020 03:20:00 AM,75.00,,75.00,0.00,,,,,,,,
56551436,4EE5890,03,22,MD,HOND,Liberty Heights Ave WB @ W Nor,030,Red Light Violation,75.00,07/25/2020 02:45:00 AM,75.00,,75.00,0.00,,,,,,,,
56551022,6DM9451,11,21,MD,CHEV,Russell St NB @ Bush St,030,Red Light Violation,75.00,07/25/2020 02:38:00 AM,75.00,,75.00,0.00,,,,,,,,
56551014,UMC1526,00,0,VA,TOYT,N Calvert St NB @ E Baltimore,030,Red Light Violation,75.00,07/25/2020 02:35:00 AM,75.00,,75.00,0.00,,,,,,,,
56551766,7EF2672,06,21,MD,NISS,W Fayette St WB @ N Paca St,030,Red Light Violation,75.00,07/25/2020 02:33:00 AM,75.00,,75.00,0.00,,,,,,,,
56550990,3AV2121,10,20,MD,LEXS,N President St SB @ E Fayette,030,Red Light Violation,75.00,07/25/2020 02:30:00 AM,75.00,,75.00,0.00,,,,,,,,
56550982,6EC7747,01,21,MD,CADI,Erdman Ave WB @ N Macon St,030,Red Light Violation,75.00,07/25/2020 02:28:00 AM,75.00,,75.00,0.00,,,,,,,,
56550974,5EF9458,06,22,MD,TOYT,W Lombard St WB @ S Charles St,030,Red Light Violation,75.00,07/25/2020 02:28:00 AM,75.00,,75.00,0.00,,,,,,,,
56550958,8DW4468,05,21,MD,INFI,Erdman Ave SB @ Federal St,030,Red Light Violation,75.00,07/25/2020 02:20:00 AM,75.00,,75.00,0.00,,,,,,,,
56550941,1BD9166,02,22,MD,TOYT,N President St NB @ E Fayette,030,Red Light Violation,75.00,07/25/2020 02:19:00 AM,75.00,,75.00,0.00,,,,,,,,
56550248,614Y35,07,21,MD,CANA,Windsor Mill Rd EB @ N Forest,030,Red Light Violation,75.00,07/25/2020 02:14:00 AM,75.00,,75.00,0.00,,,,,,,,
56550412,24617CJ,05,20,MD,ACUR,E North Ave WB @ N Howard St,030,Red Light Violation,75.00,07/25/2020 02:01:00 AM,75.00,,75.00,0.00,,,,,,,,
56550461,5DN0475,11,20,MD,RAM,Liberty Heights Ave WB @ W Nor,030,Red Light Violation,75.00,07/25/2020 01:40:00 AM,75.00,,75.00,0.00,,,,,,,,
56550099,2EG3698,07,22,MD,ACUR,N President St SB @ E Fayette,030,Red Light Violation,75.00,07/25/2020 01:34:00 AM,75.00,,75.00,0.00,,,,,,,,
56550081,9EE8861,06,22,MD,HOND,Erdman Ave EB @ N Macon St,030,Red Light Violation,75.00,07/25/2020 01:34:00 AM,75.00,,75.00,0.00,,,,,,,,
56550487,2DN4790,01,21,MD,HOND,E North Ave EB @ Harford Ave/R,030,Red Light Violation,75.00,07/25/2020 12:57:00 AM,75.00,,75.00,0.00,,,,,,,,
56550925,8DF5652,04,21,MD,HOND,N Paca St NB @ W Fayette St,030,Red Light Violation,75.00,07/25/2020 12:45:00 AM,75.00,,75.00,0.00,,,,,,,,
56550040,8DX2975,07,21,MD,FORD,Aliceanna St WB @ S Wolfe St,030,Red Light Violation,75.00,07/25/2020 12:15:00 AM,75.00,,75.00,0.00,,,,,,,,
56550511,3EB7356,04,22,MD,TOYT,E North Ave WB @ N Howard St,030,Red Light Violation,75.00,07/25/2020 12:01:00 AM,75.00,,75.00,0.00,,,,,,,,
56550024,6DM9294,09,20,MD,CHRY,S MLK Jr Blvd NB @ W Pratt St,030,Red Light Violation,75.00,07/24/2020 11:44:00 PM,75.00,,75.00,0.00,,,,,,,,
56550834,1EB1189,02,22,MD,NISS,Reisterstown Rd SB @ Patterson,030,Red Light Violation,75.00,07/24/2020 11:32:00 PM,75.00,,75.00,0.00,,,,,,,,
56550826,CGI2780,00,0,GA,CHEVR,W Northern Pkwy EB @ Reisterst,030,Red Light Violation,75.00,07/24/2020 11:31:00 PM,75.00,,75.00,0.00,,,,,,,,
56550818,3BC1794,09,20,MD,LNDR,E Madison St WB @ N Linwood Av,030,Red Light Violation,75.00,07/24/2020 11:26:00 PM,75.00,,75.00,0.00,,,,,,,,
56550529,ML0686,08,21,MD,JEEP,The Alameda NB @ Argonne,030,Red Light Violation,75.00,07/24/2020 11:23:00 PM,75.00,,75.00,0.00,,,,,,,,
56549984,5DX6754,06,21,MD,NISS,Dundalk Ave SB @ O'Donnell St,030,Red Light Violation,75.00,07/24/2020 11:20:00 PM,75.00,,75.00,0.00,,,,,,,,
56550800,4EF5287,06,21,MD,KIA,Reisterstown Rd SB @ W Cold Sp,030,Red Light Violation,75.00,07/24/2020 11:16:00 PM,75.00,,75.00,0.00,,,,,,,,
56550768,1DX4408,01,21,MD,DODG,E Pratt St EB @ Light St,030,Red Light Violation,75.00,07/24/2020 11:01:00 PM,75.00,,75.00,0.00,,,,,,,,
56549968,1EG1566,07,20,MD,HOND,E 33rd St WB @ Greenmount Ave,030,Red Light Violation,75.00,07/24/2020 10:58:00 PM,75.00,,75.00,0.00,,,,,,,,
56549950,1EE6613,05,22,MD,HOND,Aliceanna St WB @ S Wolfe St,030,Red Light Violation,75.00,07/24/2020 10:51:00 PM,75.00,,75.00,0.00,,,,,,,,
56550552,6CT4240,01,21,MD,HOND,Wilkens Ave EB @ Caton Ave,030,Red Light Violation,75.00,07/24/2020 10:45:00 PM,75.00,,75.00,0.00,,,,,,,,
56549869,6DN0770,11,20,MD,NISS,E Belvedere Ave EB @ Hillen Rd,030,Red Light Violation,75.00,07/24/2020 10:43:00 PM,75.00,,75.00,0.00,,,,,,,,
56551055,1EG7267,08,20,MD,HOND,E 33rd St WB @ Greenmount Ave,030,Red Light Violation,75.00,07/24/2020 10:37:00 PM,75.00,,75.00,0.00,,,,,,,,
56549810,67152CH,04,21,MD,NISS,Sinclair Ln EB @ Moravia Rd,030,Red Light Violation,75.00,07/24/2020 10:22:00 PM,75.00,,75.00,0.00,,,,,,,,
56552681,4EA1510,11,21,MD,CHEV,Pulaski Hwy EB @ Moravia Park,030,Red Light Violation,75.00,07/24/2020 10:01:00 PM,75.00,,75.00,0.00,,,,,,,,
56549752,UNF3175,00,0,VA,HOND,Aliceanna St WB @ S Wolfe St,030,Red Light Violation,75.00,07/24/2020 09:55:00 PM,75.00,,75.00,0.00,,,,,,,,
56551998,98591CG,01,22,MD,TOYT,Liberty Heights Ave WB @ W Nor,030,Red Light Violation,75.00,07/24/2020 09:47:00 PM,75.00,,75.00,0.00,,,,,,,,
56549711,8DX7259,03,20,MD,HOND,N President St NB @ E Fayette,030,Red Light Violation,75.00,07/24/2020 09:28:00 PM,75.00,,75.00,0.00,,,,,,,,
56549729,8DP5534,01,21,MD,NISS,Light St SB @ W Pratt St,030,Red Light Violation,75.00,07/24/2020 09:28:00 PM,75.00,,75.00,0.00,,,,,,,,
56549653,88F025,05,22,MD,FORD,Pulaski Hwy EB @ N North Point,030,Red Light Violation,75.00,07/24/2020 08:55:00 PM,75.00,,75.00,0.00,,,,,,,,
56549646,UWC4753,00,0,VA,HYUN,Loch Raven Blvd SB @ E Belvede,030,Red Light Violation,75.00,07/24/2020 08:54:00 PM,75.00,,75.00,0.00,,,,,,,,
56550636,7DW9031,06,21,MD,NISS,E North Ave WB @ N Howard St,030,Red Light Violation,75.00,07/24/2020 08:51:00 PM,75.00,,75.00,0.00,,,,,,,,
56550438,4DG1229,03,22,MD,TOYT,Dundalk Ave SB @ O'Donnell St,030,Red Light Violation,75.00,07/24/2020 08:42:00 PM,75.00,,75.00,0.00,,,,,,,,
56550446,4EF5607,06,21,MD,CHEV,Dundalk Ave SB @ O'Donnell St,030,Red Light Violation,75.00,07/24/2020 08:42:00 PM,75.00,,75.00,0.00,,,,,,,,
56552673,9DL1473,10,20,MD,HOND,Pulaski Hwy EB @ Moravia Park,030,Red Light Violation,75.00,07/24/2020 08:33:00 PM,75.00,,75.00,0.00,,,,,,,,
56549596,4ED8865,01,22,MD,CHRY,E Madison St WB @ St Paul St,030,Red Light Violation,75.00,07/24/2020 08:32:00 PM,75.00,,75.00,0.00,,,,,,,,
56549588,LAT688,12,20,MD,TOYT,Loch Raven Blvd SB @ E Belvede,030,Red Light Violation,75.00,07/24/2020 08:30:00 PM,75.00,,75.00,0.00,,,,,,,,
56549513,8CX7406,06,21,MD,HYUN,Caton Ave NB @ Wilkens Ave,030,Red Light Violation,75.00,07/24/2020 08:17:00 PM,75.00,,75.00,0.00,,,,,,,,
56549489,9DM6698,12,20,MD,INFI,E Cold Spring Ln EB @ York Rd,030,Red Light Violation,75.00,07/24/2020 08:11:00 PM,75.00,,75.00,0.00,,,,,,,,
56549463,1DH9346,04,21,MD,DODG,Wilkens Ave WB @ Caton Ave,030,Red Light Violation,75.00,07/24/2020 08:10:00 PM,75.00,,75.00,0.00,,,,,,,,
56549851,8DD2887,01,22,MD,HOND,N Fulton Ave NB @ W North Ave,030,Red Light Violation,75.00,07/24/2020 08:09:00 PM,75.00,,75.00,0.00,,,,,,,,
56551972,840M972,08,20,MD,CHEV,E Madison St WB @ N Linwood Av,030,Red Light Violation,75.00,07/24/2020 08:08:00 PM,75.00,,75.00,0.00,,,,,,,,
56549430,6DZ9524,12,21,MD,FORD,W Northern Pkwy WB @ Reisterst,030,Red Light Violation,75.00,07/24/2020 08:08:00 PM,75.00,,75.00,0.00,,,,,,,,
56549422,7CK3790,07,20,MD,INFI,E Madison St WB @ St Paul St,030,Red Light Violation,75.00,07/24/2020 08:06:00 PM,75.00,,75.00,0.00,,,,,,,,
56549406,5EF5749,08,20,MD,DODG,Dundalk Ave SB @ O'Donnell St,030,Red Light Violation,75.00,07/24/2020 08:05:00 PM,75.00,,75.00,0.00,,,,,,,,
56549794,9DM4216,11,20,MD,MERZ,Erdman Ave WB @ N Macon St,030,Red Light Violation,75.00,07/24/2020 08:03:00 PM,75.00,,75.00,0.00,,,,,,,,
56549380,7DS8993,06,21,MD,HOND,Gwynns Falls Pkwy EB @ Reister,030,Red Light Violation,75.00,07/24/2020 08:02:00 PM,75.00,,75.00,0.00,,,,,,,,
56550123,2CE6043,11,21,MD,HOND,N President St SB @ E Fayette,030,Red Light Violation,75.00,07/24/2020 08:01:00 PM,75.00,,75.00,0.00,,,,,,,,
56549356,ZNL0948,00,0,PA,DODGE,Falls Rd SB @ W 41st St,030,Red Light Violation,75.00,07/24/2020 08:00:00 PM,75.00,,75.00,0.00,,,,,,,,
56551964,1DR2502,02,21,MD,HOND,Pulaski Hwy EB @ Moravia Park,030,Red Light Violation,75.00,07/24/2020 07:56:00 PM,75.00,,75.00,0.00,,,,,,,,
56549323,2DB3289,09,21,MD,HOND,S MLK Jr Blvd SB @ W Pratt St,030,Red Light Violation,75.00,07/24/2020 07:50:00 PM,75.00,,75.00,0.00,,,,,,,,
56549307,1AY0402,11,20,MD,NISS,E North Ave WB @ N Wolfe St,030,Red Light Violation,75.00,07/24/2020 07:48:00 PM,75.00,,75.00,0.00,,,,,,,,
56549281,5CM0733,08,21,MD,TOYT,Gwynns Falls Pkwy EB @ Reister,030,Red Light Violation,75.00,07/24/2020 07:47:00 PM,75.00,,75.00,0.00,,,,,,,,
56550370,7EB9222,12,21,MD,TOYT,N President St SB @ E Fayette,030,Red Light Violation,75.00,07/24/2020 07:46:00 PM,75.00,,75.00,0.00,,,,,,,,
56549786,EC7211,08,20,DC,FORD,N Calvert St NB @ E Baltimore,030,Red Light Violation,75.00,07/24/2020 07:46:00 PM,75.00,,75.00,0.00,,,,,,,,
56550347,2EF4166,05,21,MD,FORD,Loch Raven Blvd SB @ E Belvede,030,Red Light Violation,75.00,07/24/2020 07:38:00 PM,75.00,,75.00,0.00,,,,,,,,
56550198,9EF0167,07,20,MD,HOND,N Fulton Ave NB @ W North Ave,030,Red Light Violation,75.00,07/24/2020 07:37:00 PM,75.00,,75.00,0.00,,,,,,,,
56550107,KLG0162,00,0,PA,HYUND,Erdman Ave WB @ N Macon St,030,Red Light Violation,75.00,07/24/2020 07:31:00 PM,75.00,,75.00,0.00,,,,,,,,
56549471,9EB6406,01,21,MD,ACUR,E Belvedere Ave EB @ Hillen Rd,030,Red Light Violation,75.00,07/24/2020 07:28:00 PM,75.00,,75.00,0.00,,,,,,,,
56551956,LHH2184,00,0,PA,FORD,Pulaski Hwy EB @ Moravia Park,030,Red Light Violation,75.00,07/24/2020 07:25:00 PM,75.00,,75.00,0.00,,,,,,,,
56549844,4DN1197,01,21,MD,HOND,N Fulton Ave NB @ W North Ave,030,Red Light Violation,75.00,07/24/2020 07:25:00 PM,75.00,,75.00,0.00,,,,,,,,
56549315,8DX9845,07,21,MD,HOND,Pulaski Hwy EB @ N North Point,030,Red Light Violation,75.00,07/24/2020 07:24:00 PM,75.00,,75.00,0.00,,,,,,,,
56549166,7DP5575,01,21,MD,INFI,The Alameda SB @ Argonne,030,Red Light Violation,75.00,07/24/2020 07:22:00 PM,75.00,,75.00,0.00,,,,,,,,
56549232,4DW9902,06,21,MD,NISS,S MLK Jr Blvd SB @ Washington,030,Red Light Violation,75.00,07/24/2020 07:15:00 PM,75.00,,75.00,0.00,,,,,,,,
56549133,9DD9511,12,21,MD,LINC,Reisterstown Rd NB @ W Cold Sp,030,Red Light Violation,75.00,07/24/2020 07:15:00 PM,75.00,,75.00,0.00,,,,,,,,
56549687,2DM9526,10,20,MD,INFI,Pennsylvania Ave NB @ Dolphin,030,Red Light Violation,75.00,07/24/2020 07:06:00 PM,75.00,,75.00,0.00,,,,,,,,
56549638,9EE2390,07,20,MD,HOND,W Cold Spring Lane EB @ Falls,030,Red Light Violation,75.00,07/24/2020 07:04:00 PM,75.00,,75.00,0.00,,,,,,,,
56549349,DV14884,12,99,MD,CHEV,Pulaski Hwy EB @ N North Point,030,Red Light Violation,75.00,07/24/2020 07:03:00 PM,75.00,,75.00,0.00,,,,,,,,
56549067,1DJ0457,10,20,MD,NISS,E Cold Spring Ln WB @ York Rd,030,Red Light Violation,75.00,07/24/2020 07:02:00 PM,75.00,,75.00,0.00,,,,,,,,
56549620,1CF5655,12,21,MD,TOYT,N President St SB @ E Fayette,030,Red Light Violation,75.00,07/24/2020 06:43:00 PM,75.00,,75.00,0.00,,,,,,,,
56551949,4EG9337,08,20,MD,TOYT,E Madison St WB @ N Linwood Av,030,Red Light Violation,75.00,07/24/2020 06:42:00 PM,75.00,,75.00,0.00,,,,,,,,
56549224,4EE2595,05,22,MD,NISS,Loch Raven Blvd NB @ E Belvede,030,Red Light Violation,75.00,07/24/2020 06:41:00 PM,75.00,,75.00,0.00,,,,,,,,
56549612,8DZ1101,09,21,MD,HOND,N Calvert St NB @ E Baltimore,030,Red Light Violation,75.00,07/24/2020 06:36:00 PM,75.00,,75.00,0.00,,,,,,,,
56549018,72191CJ,07,20,MD,VOLV,Erdman Ave NB @ Federal St,030,Red Light Violation,75.00,07/24/2020 06:33:00 PM,75.00,,75.00,0.00,,,,,,,,
56551329,3DC4184,10,21,MD,TOYT,N President St SB @ E Fayette,030,Red Light Violation,75.00,07/24/2020 06:31:00 PM,75.00,,75.00,0.00,,,,,,,,
56550305,6DL7168,12,21,MD,FORD,E Cold Spring Ln WB @ York Rd,030,Red Light Violation,75.00,07/24/2020 06:29:00 PM,75.00,,75.00,0.00,,,,,,,,
56549562,1EC0444,12,21,MD,NISS,Erdman Ave WB @ N Macon St,030,Red Light Violation,75.00,07/24/2020 06:19:00 PM,75.00,,75.00,0.00,,,,,,,,
56551006,3CZ2140,07,21,MD,TOYT,Pulaski Hwy EB @ Moravia Park,030,Red Light Violation,75.00,07/24/2020 06:08:00 PM,75.00,,75.00,0.00,,,,,,,,
56549901,1EF2189,04,22,MD,VOLK,S MLK Jr Blvd SB @ Washington,030,Red Light Violation,75.00,07/24/2020 06:04:00 PM,75.00,,75.00,0.00,,,,,,,,
56549604,UKB7425,00,0,VA,HOND,Erdman Ave EB @ Belair Rd,030,Red Light Violation,75.00,07/24/2020 06:04:00 PM,75.00,,75.00,0.00,,,,,,,,
56548994,JCM1711,09,18,NY,CHEV,W Lombard St WB @ S Charles St,030,Red Light Violation,75.00,07/24/2020 06:03:00 PM,75.00,,75.00,0.00,,,,,,,,
56550289,4DC1191,10,21,MD,LEXS,Gwynns Falls Pkwy WB @ Reister,030,Red Light Violation,75.00,07/24/2020 06:02:00 PM,75.00,,75.00,0.00,,,,,,,,
56548986,5CT2416,02,21,MD,TOYT,E Pratt St EB @ Light St,030,Red Light Violation,75.00,07/24/2020 05:56:00 PM,75.00,,75.00,0.00,,,,,,,,
56548978,SG27751,12,99,MD,NWFL,W Fayette St WB @ N Paca St,030,Red Light Violation,75.00,07/24/2020 05:52:00 PM,75.00,,75.00,0.00,,,,,,,,
56549554,77101CH,01,21,MD,VOLK,E North Ave WB @ N Howard St,030,Red Light Violation,75.00,07/24/2020 05:42:00 PM,75.00,,75.00,0.00,,,,,,,,
56549547,9DC7580,11,21,MD,JAGU,E Cold Spring Ln WB @ York Rd,030,Red Light Violation,75.00,07/24/2020 05:41:00 PM,75.00,,75.00,0.00,,,,,,,,
56548895,02520CJ,08,20,MD,HOND,S Monroe St NB @ Washington Bl,030,Red Light Violation,75.00,07/24/2020 05:40:00 PM,75.00,,75.00,0.00,,,,,,,,
56548887,6CE3851,12,21,MD,SUBA,Erdman Ave EB @ N Macon St,030,Red Light Violation,75.00,07/24/2020 05:39:00 PM,75.00,,75.00,0.00,,,,,,,,
56549539,2EF3240,06,21,MD,BMW,E North Ave WB @ N Howard St,030,Red Light Violation,75.00,07/24/2020 05:37:00 PM,75.00,,75.00,0.00,,,,,,,,
